"Autor","Familia ","Genero","specie "
"Duvalier Briceño","Hesperiidae","Talides","sinois"
"Duvalier Briceño","Hesperiidae","Celaenorrhinus","stallingsi"
"Duvalier Briceño","Notodontidae","Ginaldia ","Arecosa"
"Duvalier Briceño","Nymphalidae","Zaretis","ellops"
"Duvalier Briceño","Nymphalidae","Zaretis","elianahenrichae"
"Duvalier Briceño","Nymphalidae","Callicore","patelina"
"Duvalier Briceño","Notodontidae","Hemiceras","sabis"
"Duvalier Briceño","Hesperiidae","Cynea"," irma"
"Duvalier Briceño","Notodontidae","Hemiceras","alba"
"Duvalier Briceño","Riodinidae","Pirascca","arbuscula"
"Duvalier Briceño","Saturniidae","Oxytenis","modoccidentalis"
"Duvalier Briceño","Hesperiidae","Argon","lota"
"Duvalier Briceño","Geometridae","Sphacelodes","vulneraria"
"Duvalier Briceño","Notodontidae","Nystalea ","abalea"
"Duvalier Briceño","Depressariidae","Stenoma","cathosiota"
"Duvalier Briceño","Notodontidae","Luca","lividaDHJ01"
"Edwin Apu","Saturnidae","Eacles","imperialis"
"Edwin Apu","Hesperiidae","  Pseudonascus","paulliniae"
"Edwin Apu","Sphingidae","Monoloxis","flavicintalis"
"Edwin Apu","Crambidae","Asturodes ","fimbriauralis"
"Edwin Apu","Hesperiidae","Drephalys","Burns01"
"Manuel Rios","Hesperiidae","Typhedanus ","undulantes"
"Edwin Apu","Sphingidae","Adhemarius","daphne"
"Edwin Apu","Pieridae","Phoebis"," philea"
"Edwin Apu","Nymphalidae","Prepona","laertes"
"Edwin Apu","Nymphalidae","Greta"," oto"
"Edwin Apu","Hesperiidae","Sostrata","bifasciata nordica"
"Edwin Apu","Hesperiidae","Urbanus","Proteus"
"Edwin Apu","Hesperiidae","Anastrus","neaeris"
"Edwin Apu","Hesperiidae","Euphyes","Janzen01"
"Edwin Apu","Geometridae","Tmetomorpha","bitiasDHJ02"
"Edwin Apu","Riodinidae","Mesosemia","carissima"
"Edwin Apu","Sphingidae","Oryba ","achemenides"
"Edwin Apu","Sphingidae","Enyo","gorgon"
"Edwin Apu","Attevinae","Atteva","zebra"
"Edwin Apu","Sphingidae","Xylophanes ","anubus"
"Elda Araya","Hesperiidae","Ridens","Burns01"
"Elda Araya","Notodontidae","Lirimiris","gigantea"
"Elda Araya","hesperiidae","Narcosius","samson"
"Elda Araya","Nymphalidae","Caligo"," illioneus"
"Elda Araya","Hesperiidae","Narcosius","colossus"
"Elda Araya","Nymphalidae","Memphis","cleomestra"
"Elda Araya","Limacodidae","Acharia","ophelians"
"Elda Araya","Riodinidae","Emesis","lacrines"
"Elda Araya","Hesperiidae","Eantis","thraso"
"Elda Araya","Hesperiidae","Perichares","adela"
"Elda Araya","Hesperiidae","Polythrix","caunus"
"Elda Araya","Hesperiidae","Urbanus"," belli"
